"HEADWORD","DEFINITION","PART OF SPEECH","SEMANTIC GROUP","FREQUENCY RANK"
"πολέμιος πολεμία πολέμιον","hostile; οἱ πολέμιοι the enemy","adjective: 1st and 2nd declension","War and Peace","246"
"ἔρομαι, ἐρήσομαι, 2 aor. ἠρόμην","ask, ask one about (+double acc.)","verb: deponent","Writing and Talking","247"
"ἀδελφός –οῦ, ὁ","brother","noun: 2nd declension","Family and Friendship and the Home","248"
"μέγεθος μεγέθους, τό","greatness, size, magnitude","noun: 3rd declension σ-stem","Measurements and Numerals","249"
"εἴτε…εἴτε","whether…or","conjunction: coordinating","Conjunctions/Adverbs","250"
"κεῖμαι, κείσομαι","to lie, be situated, be laid up in store, be set up, be established or ordained (used as pf. pass. of τίθημι)","verb: deponent","Work and Leisure","251"
"πολλάκις","often","adverb","Time","252"
"πίνω, πίομαι, 2 aor. ἔπιον, πέπωκα, -πέπομαι, -επόθην","drink","verb: -ω liquid stem","The Senses and Feelings","253"
"χάρις χάριτος, ἡ","splendor, honor, glory; favor, goodwill, gratitude, thanks","noun: 3rd declension consonant stem","Ethics and Morals","254"
"ἔπειτα","then, next","adverb","Time","255"
"ζητέω, ζητήσω, ἐζήτησα, ἐζήτηκα","seek","verb: contracted","Showing and Finding","256"
"σχῆμα σχήματος, τό","form, figure, appearance, character","noun: 3rd declension consonant stem","Measurements and Numerals","257"
"τροφή τροφῆς, ἡ","nourishment, food","noun: 1st declension","Life and Death","258"
"μανθάνω, μαθήσομαι, ἔμαθον, μεμάθηκα","learn, ascertain","verb: -ω liquid stem","The Mind, Perceiving and Learning","259"
"ἐνταῦθα","here, there","adverb","Direction","260"
"φεύγω, φεύξομαι, ἔφυγον, πέφευγα","flee, run away, avoid, shun","verb: -ω palatal stem","Movement","261"
"ἵππος ἵππου, ὁ","horse","noun: 2nd declension","Animals and Plants","262"
"κόσμος κόσμου, ὁ","order; ornament, decoration, adornment; world, universe","noun: 2nd declension","World Order","263"
"αἷμα αἵματος, τό","blood","noun: 3rd declension consonant stem","Body Parts","264"
"αἱρέω, αἱρήσω, 2 aor. εἷλον, ᾕρηκα, ᾕρημαι, ᾑρέθην","take, grasp, take by force; (mid.) choose","verb: contracted","Taking and Giving","265"
"προστίθημι, προσθήσω, προσέθηκα, προστέθηκα, προστέθειμαι (but commonly προσκεῖμαι instead), προσετέθην","add; (med.) join","verb: -μι","Taking and Giving","266"
"ἀξιόω, ἀξιώσω, ἠξίωσα, ἠξίωκα, ἠξίωμαι, ἠξιώθην","consider worthy; require, demand, ask, claim","verb: contracted","Ethics and Morals","267"
"ἕως","until; while, so long as","conjunction: subordinating","Time","268"
"νέος νέα νέον","young, new, fresh","adjective: 1st and 2nd declension","Characteristics","269"
"ἔοικα, ptc. εἰκώς","be like, look like (+dat.); seem; befit","verb: irregular","Characteristics","270"
"κἄν (καὶ-ἄν)","even if (+subj.)","conjunction: subordinating","Conjunctions/Adverbs","271"
"καθίστημι, καταστήσω, κατέστησα, κατέστην, καθέστηκα, plupf. καθειστήκη, κατεστάθην","set down, establish; bring into a certain state, render","verb: -μι","Work and Leisure","272"
"τέχνη τέχνης, ἡ","art, skill, craft","noun: 1st declension","Government and Society","273"
"χρῆμα χρήματος, τό","thing, matter; (more commonly in pl.) goods or property, esp. money","noun: 3rd declension consonant stem","Government and Society","274"
"σῴζω, σώσω, ἔσωσα, σέσωκα, ἐσώθην","save","verb: -ω dental stem","Help and Safety","275"
"πέμπω, πέμψω, ἔπεμψα, πέπομφα, πέπεμμαι, ἐπέμφθην","send","verb: -ω labial stem","Movement","276"
"φωνή φωνῆς, ἡ","sound, voice","noun: 1st declension","The Senses and Feelings","277"
"ἕνεκα","on account of, for the sake of (+gen.)","preposition","Prepositions without Direction","278"
"ἀπόλλυμι, ἀπολῶ, ἀπώλεσα, 2 aor. mid. ἀπωλόμην, pf. ἀπολώλεκα (“I have utterly destroyed”) or ἀπόλωλα (“I am undone”)","kill, destroy; (mid.) perish, die","verb: -μι","Life and Death","279"
"θάνατος θανάτου, ὁ","death","noun: 2nd declension","Life and Death","280"
"νύξ νυκτός, ἡ","night","noun: 3rd declension consonant stem","World Order","281"
"ὁδός ὁδοῦ, ἡ","road, way, path","noun: 2nd declension","Government and Society","282"
"ἔθνος ἔθνους, τό","nation","noun: 3rd declension σ-stem","Government and Society","283"
"ἀποδίδωμι, ἀποδώσω, ἀπέδωκα, ἀποδέδωκα, ἀποδέδομαι, ἀπεδόθην","give back; render; allow; (mid.) sell","verb: -μι","Taking and Giving","284"
"νοῦς (νόος), νοῦ (νόου), ὁ","mind, perception, sense","noun: 2nd declension","The Mind, Perceiving and Learning","285"
"μένω, μενῶ, ἔμεινα, μεμένηκα","stay, remain, endure, await","verb: -ω liquid stem","Movement","286"
"ἀποθνῄσκω, ἀποθανοῦμαι, 2 aor. ἀπέθανον, ἀποτέθνηκα","die","verb: -ω palatal stem","Life and Death","287"
"πάνυ","altogether, entirely","adverb","Conjunctions/Adverbs","288"
"εὖ","well (opp. κακῶς); thoroughly, competently; happily, fortunately","adverb","Conjunctions/Adverbs","289"
"κρίνω, κρινῶ, ἔκρινα, κέκρικα, κέκριμαι, ἐκρίθην","judge, decide, determine","verb: -ω liquid stem","Law and Judgment","290"
"ἀναιρέω, ἀναιρήσω, ἀνεῖλον, ἀνῄρηκα, ἀνῄρημαι, ἀνῃρέθην","raise, take up; kill, destroy","verb: contracted","War and Peace","291"
"μακρός –ά –όν","long, tall, large, long-lasting","adjective: 1st and 2nd declension","Measurements and Numerals","292"
"ἥκω, ἥξω, pf. ἧκα","I have come, I am present","verb: -ω palatal stem","Movement","293"
"ἡδονή –ῆς, ἡ","pleasure, enjoyment","noun: 1st declension","Work and Leisure","294"
"μήτηρ μητρός, ἡ","mother","noun: 3rd declension irregular","Family and Friendship and the Home","295"
"δεινός –ή –όν","awesome, terrible; clever, clever at (+infin.)","adjective: 1st and 2nd declension","Characteristics","296"
"διαφορά –ᾶς, ἡ","difference, disagreement","noun: 1st declension","Law and Judgment","297"
"κρατέω, κρατήσω, ἐκράτησα, κεκράτηκα, κεκράτημαι, ἐκρατήθην","be victorious, conquer, rule, surpass, excel (+gen.)","verb: contracted","Government and Society","298"
"δῆμος δήμου, ὁ"," the (common) people; country district (opp. πόλις)","noun: 2nd declension","Humanity and Being","299"
"οὐρανός –οῦ, ὁ","sky, heaven","noun: 2nd declension","World Order","300"
"ἕπομαι ἕψομαι, 2 aor. ἑσπόμην","follow","verb: deponent","Movement","301"
"ἥσσων ἧσσον","less, weaker (comp. of κακός or μικρός)","adjective: 3rd declension -ων, -ον","Characteristics","302"
"ὄρος ὄρους, τό","mountain, hill","noun: 3rd declension σ-stem","Earth","303"
"πλήν","(prep.) except (+gen.); (conj.) except that, unless, but","preposition","Prepositions without Direction","304"
"τέτταρες τέτταρα","four","adjective: numeral","Measurements and Numerals","305"
"δυνατός –ή –όν","strong, powerful, able","adjective: 1st and 2nd declension","Characteristics","306"
"οἶκος οἴκου, ὁ","house, home, family","noun: 2nd declension","Family and Friendship and the Home","307"
"ἄριστος ἀρίστη ἄριστον","best, noblest (superl. of ἀγαθός)","adjective: 1st and 2nd declension","Ethics and Morals","308"
"ῥᾴδιος ῥᾳδία ῥᾴδιον","easy","adjective: 1st and 2nd declension","Characteristics","309"
"ἀφαιρέω, ἀφαιρήσω, ἀφεῖλον, ἀφῄρηκα, ἀφῄρημαι, ἀφῃρέθην","take from, take away","verb: contracted","Taking and Giving","310"
"τύχη τύχης, ἡ","luck, fortune (good or bad), fate, chance","noun: 1st declension","Life and Death","311"
"φανερός –ά –όν","clear, evident","adjective: 1st and 2nd declension","The Senses and Feelings","312"
"πρόσωπον προσώπου, τό","face, mask, person","noun: 2nd declension","Body Parts","313"
"πιστεύω, πιστεύσω, ἐπίστευσα, πεπίστευκα, πεπίστευμαι, ἐπιστεύθην","trust, rely on, believe in (+dat.)","verb: -ω vowel stem","The Senses and Feelings","314"
"διδάσκω, διδάξω, ἐδίδαξα, δεδίδαχα, δεδίδαγμαι, ἐδιδάχθην","teach","verb: -ω palatal stem","The Mind, Perceiving and Learning","315"
"ἄνω","up, upwards","adverb","Direction","316"
"τάσσω, τάξω, ἔταξα, τέταχα, τέταγμαι, ἐτάχθην","arrange, put in order","verb: -ω palatal stem","Government and Society","317"
"ὀφθαλμός –οῦ, ὁ","eye","noun: 2nd declension","Body Parts","318"
"δέχομαι, δέξομαι, ἐδεξάμην, δέδεγμαι, -εδέχθην","take, accept; welcome, entertain","verb: deponent","Family and Friendship and the Home","319"
"ἀφικνέομαι, ἀφίξομαι, 2 aor. ἀφικόμην, ἀφῖγμαι","come to, arrive at","verb: deponent","Movement","320"
"ἱκανός –ή –όν","sufficient, enough; competent, able to (+infin.)","adjective: 1st and 2nd declension","Help and Safety","321"
"ἐργάζομαι, ἐργάσομαι, εἰργασάμην, εἴργασμαι","work, labor","verb: deponent","Work and Leisure","322"
"μάχη μάχης, ἡ","battle","noun: 1st declension","War and Peace","323"
"τρέφω, θρέψω, ἔθρεψα, τέθραμμαι, ἐτράφην","nourish, feed, support, maintain; rear, educate","verb: -ω labial stem","Life and Death","324"
"ἀδύνατος –ον","impossible; powerless","adjective: 1st and 2nd declension","Government and Society","325"
"ἀκριβής –ές","exact, accurate, precise","adjective: 3rd declension -ης, -ες","Measurements and Numerals","326"
"που","(enclitic) somewhere; I suppose, perhaps (to qualify an assertion)","adverb","Particles","327"
"ὅθεν","from where, whence","adverb","Direction","328"
"στόμα στόματος, τό","mouth, face, opening","noun: 3rd declension consonant stem","Body Parts","329"
"χωρίς","separately, apart; (+gen.) without, separate from","adverb","Direction","330"
"κρείσσων κρεῖσσον","stronger, mightier; better, more excellent (comp. of ἀγαθός)","adjective: 3rd declension -ων, -ον","Characteristics","331"
"βραχύς βραχεῖα βραχύ","brief, short","adjective: -ύς, -εῖα, -ύ","Characteristics","332"
"ἰσχυρός –ά –όν","strong","adjective: 1st and 2nd declension","Characteristics","333"
"ἀλήθεια ἀληθείας, ἡ","truth","noun: 1st declension","Ethics and Morals","334"
"δίκη δίκης, ἡ","justice, lawsuit, trial, penalty","noun: 1st declension","Law and Judgment","335"
"χωρίον χωρίου, τό","place, spot, district","noun: 2nd declension","Earth","336"
"ἡδύς ἡδεῖα ἡδύ","sweet, pleasant","adjective: -ύς, -εῖα, -ύ","Characteristics","337"
"νόσος νόσου, ὁ","disease, sickness","noun: 2nd declension","Life and Death","338"
"λίθος λίθου, ὁ","stone","noun: 2nd declension","Earth","339"
"παλαιός –ά –όν","old, ancient","adjective: 1st and 2nd declension","Characteristics","340"
"ἀφίημι, ἀφήσω, ἀφῆκα, ἀφεῖκα, ἀφεῖμαι, ἀφείθην","send away, let go; let alone, neglect","verb: -μι","Taking and Giving","341"
"ἄλλως","otherwise","adverb","Pronouns/Interrogatives","342"
"πρᾶξις πράξεως, ἡ","action, transaction, business","noun: 3rd declension ι-stem","Work and Leisure","343"
"σαφής σαφές","clear, distinct, plain","adjective: 3rd declension -ης, -ες","Showing and Finding","344"
"σοφός –ή –όν","wise, clever, skilled","adjective: 1st and 2nd declension","Characteristics","345"
"νικάω, νικήσω, ἐνίκησα, νενίκηκα, νενίκημαι, ἐνικήθην","conquer, win","verb: contracted","War and Peace","346"
"ὁμολογέω, ὁμολογήσω, ὡμολόγησα, ὡμολόγηκα, ὡμολόγημαι, ὡμολογήθην","agree with, say the same thing as (+dat.)","verb: contracted","Law and Judgment","347"
"ναός (νεώς) ναοῦ (νεώ), ὁ","temple","noun: 2nd declension","Religion","348"
"αὖ, αὖθις","moreover; on the other hand; back (again)","adverb","Particles","349"
"πατρίς πατρίδος, ἡ","fatherland","noun: 3rd declension consonant stem","Government and Society","350"
"ὀξύς ὀξεῖα ὀξύ","sharp, keen, shrill, pungent","adjective: -ύς, -εῖα, -ύ","Characteristics","351"
"καίτοι (καί-τοι)","and indeed, and yet","adverb","Particles","352"
"πλέον","more, rather","adverb","Measurements and Numerals","353"
"πλέων πλέον","more, larger (comp. of πολύς)","adjective: 3rd declension -ων, -ον","Measurements and Numerals","354"
"γνώμη γνώμης, ἡ","thought, intelligence, opinion, purpose","noun: 1st declension","The Mind, Perceiving and Learning","355"
"τιμή τιμῆς, ἡ","honor, esteem; price, value; office, magistracy","noun: 1st declension","Ethics and Morals","356"
"μεταξύ","between","adverb","Direction","357"
"προσήκω προσήξω","belong to, have to do with; be fitting for (+dat.); arrive at; οἱ προσήκοντες relatives; τὰ προσήκoντα duties","verb: -ω palatal stem","Ethics and Morals","358"
"πρίν","before, until","conjunction: subordinating","Time","359"
"ἀδικέω, ἀδικήσω, ἠδίκησα, ἠδίκηκα, ἠδίκημαι, ἠδικήθην","do wrong; injure","verb: contracted","Ethics and Morals","360"
"στρατηγός –οῦ, ὁ","leader of an army, commander, general","noun: 2nd declension","War and Peace","361"
"οὐκέτι","no longer, no more","adverb","Time","362"
"πρέσβυς πρέσβεως, ὁ","old man; (pl.) ambassadors","noun: 3rd declension -εύς, -έως","Government and Society","363"
"παύω, παύσω, ἔπαυσα, πέπαυκα, πέπαυμαι, ἐπαύθην","stop, put an end to; (mid.) cease","verb: -ω vowel stem","Movement","364"
"τελευτάω, τελευτήσω, ἐτελεύτησα, τετελεύτηκα, τετελεύτημαι, ἐτελευτήθην","finish; die","verb: contracted","Life and Death","365"
"μίγνυμι, μείξω, ἔμειξα, μέμειγμαι, ἐμείχθην","mix, mingle","verb: -μι","Work and Leisure","366"
"λαός λαοῦ, ὁ","the people, folk","noun: 2nd declension","Humanity and Being","367"
"θυγάτηρ θυγατρός, ἡ","daughter","noun: 3rd declension irregular","Family and Friendship and the Home","368"
"οἰκία οἰκίας, ἡ","building, house, dwelling","noun: 1st declension","Family and Friendship and the Home","369"
"παραδίδωμι, παραδώσω, παρέδωκα, παραδέδωκα, παραδέδομαι, παρεδόθην","transmit, hand over, surrender","verb: -μι","Taking and Giving","370"
"ἔξω","outside; except","adverb","Direction","371"
"νῆσος νήσου, ἡ","island","noun: 2nd declension","Earth","372"
"ἐκεῖ","there","adverb","Direction","373"
"ἐπιστήμη –ης, ἡ","knowledge, understanding, skill","noun: 1st declension","The Mind, Perceiving and Learning","374"
"ἐάω, ἐάσω, εἴασα","allow, permit (+acc. and infin.); let be, let alone","verb: contracted","Law and Judgment","375"
"θαυμάζω, θαυμάσομαι, ἐθαύμασα, τεθαύμακα, τεθαύμασμαι, ἐθαυμάσθην","to be in awe (of), be astonished (at)","verb: -ω dental stem","The Senses and Feelings","376"
"αἰσθάνομαι, αἰσθήσομαι, 2 aor. ᾐσθόμην, ᾔσθημαι","perceive, understand, hear, learn","verb: deponent","The Mind, Perceiving and Learning","377"
"χαίρω, χαιρήσω, κεχάρηκα, κεχάρημαι, ἐχάρην","to be happy, rejoice at (+dat.), take joy in (+ptc.); χαῖρε, (pl.) χαίρετε hello, goodbye","verb: -ω liquid stem","The Senses and Feelings","378"
"χαλεπός –ή –όν","difficult, troublesome","adjective: 1st and 2nd declension","Characteristics","379"
"τέκνον τέκνου, τό","child","noun: 2nd declension","Family and Friendship and the Home","380"
"καταλαμβάνω, καταλήψομαι, κατέλαβον, κατείληφα, κατείλημμαι, κατελήφθην","seize, catch up with, arrest, compel","verb: -ω liquid stem","War and Peace","381"
"μάχομαι, μαχοῦμαι, ἐμαχεσάμην, μεμάχημαι","fight (against) (+dat.)","verb: deponent","War and Peace","382"
"μιμνήσκω, -μνήσω, -έμνησα, pf. μέμνημαι, ἐμνήσθην","remind; (in pf. mid.) remember","verb: -ω palatal stem","The Mind, Perceiving and Learning","383"
"λύω, λύσω, ἔλυσα, λέλυκα, λέλυμαι, ἐλύθην","loosen, unbind, set free; undo, destroy","verb: -ω vowel stem","War and Peace","384"
"θνῄσκω, 2 aor. -έθανον, τέθνηκα, θανοῦμαι","to die, be dying","verb: -ω palatal stem","Life and Death","384"
"τιμάω, τιμήσω, ἐτίμησα, τετίμηκα, τετίμημαι, ἐτιμήθην","to honor","verb: contracted","Ethics and Morals","386"
"τεῖχος τείχους, τό","wall","noun: 3rd declension σ-stem","Government and Society","387"
"ἴσως","equally, probably, perhaps","adverb","Conjunctions/Adverbs","388"
"αἴρω, ἀρῶ, ἦρα, ἦρκα, ἦρμαι, ἤρθην","take up, lift up; remove","verb: -ω palatal stem","Movement","389"
"ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα, ἀπέκτονα","kill","verb: -ω liquid stem","War and Peace","390"
"στρατιώτης –ου, ὁ","soldier","noun: 2nd declension","War and Peace","391"
"ἄνευ","without (+gen.)","preposition","Prepositions without Direction","392"
"πότερος ποτέρα πότερον","which of the two? πότερον whether","adjective: 1st and 2nd declension","Pronouns/Interrogatives","393"
"ἁπλῶς","simply, singly, in one way","adverb","Measurements and Numerals","394"
"πίπτω, πεσοῦμαι, ἔπεσον, πέπτωκα","fall, fall down","verb: -ω dental stem","War and Peace","395"
"τέταρτος –η –ον","fourth","adjective: numeral","Measurements and Numerals","396"
"κατασκευάζω, κατασκευάσω, κατεσκεύασα","equip, furnish, make ready","verb: -ω dental stem","Work and Leisure","397"
"ἐχθρός –ά –όν","hated, hateful; hostile to (+dat.)","adjective: 1st and 2nd declension","Characteristics","398"
"ἀγών ἀγῶνος, ὁ","contest; struggle","noun: 3rd declension consonant stem","Government and Society","399"
"κωλύω, κωλύσω, ἐκώλυσα, κεκώλυκα, κεκώλυμαι, ἐκωλύθην","hinder, check, prevent (+acc. and infin.)","verb: -ω vowel stem","War and Peace","400"
"ἁμαρτάνω, ἁμαρτήσομαι, ἡμάρτησα, 2 aor. ἥμαρτον, ἡμάρτηκα, ἡμάρτημαι, ἡμαρτήθην","miss the mark (+gen.); fail, be wrong, make a mistake","verb: -ω liquid stem","Ethics and Morals","401"
"διαφθείρω, διαφθερῶ, διέφθειρα, διέφθαρκα, διέφθαρμαι, διεφθάρην","destroy; corrupt","verb: -ω liquid stem","War and Peace","402"
"πως","(enclitic) somehow, in some way, in any way","adverb","Particles","403"
"πόνος πόνου, ὁ","work, labor; stress, trouble, pain","noun: 2nd declension","Work and Leisure","404"
"ἔνθα","there","adverb","Direction","405"
"τάξις τάξεως, ἡ","arrangement, order; military unit","noun: 3rd declension ι-stem","War and Peace","406"
"πειράω (usually mid. πειράομαι), πειράσομαι, ἐπείρασα, πεπείραμαι, ἐπειράθην","attempt, try, make a trial of (+gen.)","verb: contracted","Work and Leisure","407"
"φοβέω, φοβήσω, ἐφόβησα, πεφόβημαι, ἐφοβήθην","put to flight; (mid. and pass.) flee, fear","verb: contracted","The Senses and Feelings","408"
"βάλλω, βαλῶ, 2 aor. ἔβαλον, βέβληκα, βέβλημαι, ἐβλήθην","throw, hurl; throw at, hit (acc.) with (dat.)","verb: -ω liquid stem","Movement","409"
"πονηρός –ά –όν","worthless, bad, wicked","adjective: 1st and 2nd declension","Characteristics","410"
"ξένος ξένου, ὁ","guest-friend; foreigner, stranger","noun: 2nd declension","Government and Society","411"
"βάρβαρος –ον","non-Greek, foreign; barbarous","adjective: 1st and 2nd declension","Government and Society","412"
"ὅπου","where, wherever","conjunction: subordinating","Conjunctions/Adverbs","413"
"συμφέρω, συνοίσω, 1 aor. συνήνεγκα","benefit, be useful or profitable to (+dat.); (impers.) συμφέρει it is of use, expedient (+infin.); τὸ συμφέρον use, profit, advantage","verb: irregular","Help and Safety","414"
"πυνθάνομαι, πεύσομαι, 2 aor. ἐπυθόμην, πέπυσμαι","learn, hear, inquire concerning (+gen.)","verb: deponent","The Mind, Perceiving and Learning","415"
"δοῦλος δούλου, ὁ","slave","noun: 2nd declension","Government and Society","416"
"τέμνω, τεμῶ, 2 aor. ἔτεμον, -τέτμηκα, τέτμημαι, ἐτμήθην","cut, cut down, cut to pieces","verb: -ω liquid stem","War and Peace","417"
"χρήσιμος χρησίμη χρήσιμον","useful, serviceable","adjective: 1st and 2nd declension","Characteristics","418"
"ποῖος ποία ποῖον","what sort of?","adjective: 1st and 2nd declension","Pronouns/Interrogatives","419"
"ὅπλον ὅπλου, τό","weapon, tool, implement (mostly pl.)","noun: 2nd declension","War and Peace","420"
"πίστις πίστεως, ἡ","trust in others, faith; that which gives confidence, assurance, pledge, guarantee","noun: 3rd declension ι-stem","The Senses and Feelings","421"
"ὑπολαμβάνω, ὑπολήψομαι, ὑπέλαβον, ὑπείληφα, ὑπείλημμαι, ὑπελήφθην","take up, seize; answer, reply; assume, suppose","verb: -ω liquid stem","The Mind, Perceiving and Learning","422"
"ποιητής –οῦ, ὁ","creator, poet","noun: 2nd declension","Writing and Talking","423"
"λανθάνω, λήσω, ἔλαθον, λέληθα","escape the notice of (+acc. and nom. participle), be unknown; (mid. and pass.) forget","verb: -ω liquid stem","Government and Society","424"
"βελτίων βέλτιον","better (comp. of ἀγαθός)","adjective: 3rd declension -ων, -ον","Ethics and Morals","425"
"πάντως","altogether, in all ways; at any rate","adverb","Conjunctions/Adverbs","426"
"πορεύω, πορεύσω, ἐπόρευσα, πεπόρευμαι, ἐπορεύθην","carry; (mid. and pass) go, walk, march","verb: -ω vowel stem","Work and Leisure","427"
"ἀποκρίνω, ἀποκρινῶ, ἀπεκρινάμην, ἀπεκρίθη","separate, set apart, choοse; (mid.) answer, reply","verb: -ω liquid stem","Writing and Talking","428"
"πέντε","five","adjective: numeral","Measurements and Numerals","429"
"κίνδυνος κινδύνου, ὁ","danger","noun: 2nd declension","War and Peace","430"
"κατηγορέω, κατηγορήσω, κατηγόρησα, κατηγόρηκα, κατηγόρημαι, κατηγορήθην","to speak against, to accuse (+gen.)","verb: contracted","Law and Judgment","431"
"τρέπω, τρέψω, ἔτρεψα, τέτροφα, ἐτράπην","turn, direct towards a thing; put to flight, defeat; (pass.) turn one’s steps in a certain direction, go","verb: -ω labial stem","Movement","432"
"ὅμως","nevertheless, all the same, notwithstanding","adverb","Conjunctions/Adverbs","433"
"θεῖος θεία θεῖον","divine","adjective: 1st and 2nd declension","Religion","434"
"ἱππεύς ἱππέως, ὁ","horseman, rider, charioteer","noun: 3rd declension -εύς, -έως","War and Peace","435"
"κτάομαι, κτήσομαι, ἐκτησάμην, κέκτημαι","get, gain, acquire","verb: deponent","Taking and Giving","436"
"λείπω, λείψω, ἔλιπον, λέλοιπα, λέλειμμαι, ἐλείφθην","leave, abandon","verb: -ω labial stem","Movement","437"
"βουλή βουλῆς, ἡ","will, determination; counsel, piece of advice; council of elders","noun: 1st declension","Government and Society","438"
"ἐλπίς ἐλπίδος, ἡ","hope; expectation","noun: 3rd declension consonant stem","The Senses and Feelings","439"
"γραφή γραφῆς, ἡ","a drawing, painting, writing; indictment","noun: 1st declension","Writing and Talking","440"
"τίκτω, τέξω or τέξομαι, ἔτεκον, τέτοκα, τέτεγμαι, ἐτέχθην","beget, give birth to, produce","verb: -ω dental stem","Family and Friendship and the Home","441"
"κομίζω, κομιῶ, ἐκόμισα, κεκόμικα, κεκόμισμαι, ἐκομίσθην","take care of, provide for","verb: -ω dental stem","Help and Safety","442"
"θυμός θυμοῦ, ὁ","life, spirit; soul, heart, mind","noun: 2nd declension","Religion","443"
"βλέπω, βλέψομαι, ἔβλεψα","see, look (at)","verb: -ω labial stem","The Senses and Feelings","444"
"φόβος φόβου, ὁ","panic, fear, flight","noun: 2nd declension","The Senses and Feelings","445"
"πολιτεία –ας, ἡ","constitution, citizenship, republic","noun: 1st declension","Government and Society","446"
"στάδιον σταδίου, τό (pl. στάδια and στάδιοι)","stadion or stade, the longest Greek unit of linear measure, about 185 meters","noun: 2nd declension","Measurements and Numerals","447"
"φρονέω, φρονήσω, ἐφρόνησα","think, intend to (+infin.); be minded towards (+adv. and dat.)","verb: contracted","The Mind, Perceiving and Learning","448"
"τοιόσδε τοιάδε τοιόνδε","such (as this), of such a sort (as this)","adjective: 1st and 2nd declension","Pronouns/Interrogatives","449"
"ὁρμάω, ὁρμήσω, ὥρμησα, ὥρμηκα, ὥρμημαι, ὡρμήθην","set in motion, urge on; (intrans.) start, hasten on","verb: contracted","Movement","450"
"παρασκευάζω, παρασκευάσω, παρεσκεύασα","get ready, prepare, provide","verb: -ω dental stem","Work and Leisure","451"
"λαλέω, λαλήσω, ἐλάλησα, λελάληκα, ἐλαλήθην","talk, chatter, babble","verb: contracted","Writing and Talking","452"
"δράω, δράσω, ἔδρασα, δέδρακα, δέδραμαι, ἐδράσθην","do, accomplish","verb: contracted","Work and Leisure","453"
"σκοπέω, σκοπήσω, ἐσκόπησα","look at, watch; look into, consider, examine","verb: contracted","The Senses and Feelings","454"
"βοῦς βοός, ὁ/ἡ","bull, ox, cow","noun: 3rd declension irregular","Animals and Plants","455"
"ἡμέτερος ἡμετέρα ἡμέτρον","our","adjective: 1st and 2nd declension","Pronouns/Interrogatives","456"
"γράμμα γράμματος, τό","letter, written character; (pl.) piece of writing, document(s)","noun: 3rd declension consonant stem","Writing and Talking","457"
"ἐρωτάω, ἐρήσομαι, 2 aor. ἠρόμην","ask someone (acc.) something (acc.); question, beg","verb: contracted","Writing and Talking","458"
"πολεμέω, πολεμήσω, ἐπολέμησα, πεπολέμηκα","make war","verb: contracted","War and Peace","459"
"θύω, θύσω, ἔθυσα, τέθυκα, τέθυμαι, ἐτύθην","sacrifice","verb: -ω vowel stem","Religion","460"
"ἐλαύνω, ἐλῶ, ἤλασα, -ελήλακα, ἐλήλαμαι, ἠλάθην","drive, set in motion","verb: -ω liquid stem","Movement","461"
"δέδοικα, δείσομαι, ἔδεισα","fear","verb: -ω dental stem","The Senses and Feelings","462"
"σύμμαχος –ον","allied with (+dat.); οἱ σύμμαχοι allies","adjective: 1st and 2nd declension","War and Peace","463"
"ἡγεμών ἡγεμόνος, ὁ","guide, leader, commander","noun: 3rd declension consonant stem","Government and Society","464"
"βαρύς βαρεῖα βαρύ","heavy, grievous, tiresome","adjective: -ύς, -εῖα, -ύ","Characteristics","465"
"ὧδε","thus, in this way; hither, here","adverb","Direction","466"
"αἰσχρός –ά –όν","ugly, shameful, disgraceful","adjective: 1st and 2nd declension","Characteristics","467"
"εἰρήνη εἰρήνης, ἡ","peace","noun: 1st declension","War and Peace","468"
"ἁλίσκομαι, ἁλώσομαι, 2 aor. ἑάλων, ἑάλωκα","to be taken, conquered (act. supplied by αἱρέω)","verb: deponent","War and Peace","469"
"δέκα","ten","adjective: numeral","Measurements and Numerals","470"
"ἀμείνων ἄμεινον","better, abler, stronger, braver (comp. of ἀγαθός)","adjective: 3rd declension -ων, -ον","Ethics and Morals","471"
"χείρων χεῖρον","worse, inferior (comp. of κακός)","adjective: 3rd declension -ων, -ον","Ethics and Morals","472"
"βοηθέω, βοηθήσω, ἐβοήθησα, βεβοήθηκα","help, assist (+dat.)","verb: contracted","Help and Safety","473"
"λαμπρός –ά –όν","bright, brilliant; well-known, illustrious","adjective: 1st and 2nd declension","Characteristics","474"
"ἀπαλλάσσω, ἀπαλλάξω, ἀπήλλαξα, ἀπήλλαχα, ἀπήλλαγμαι, ἀπηλλάχθην or ἀπηλλάγην","set free, release, deliver","verb: -ω dental stem","Help and Safety","475"
"βουλεύω βουλεύσω, ἐβούλευσα, βεβούλευκα, βεβούλευμαι, ἐβουλεύθην","plan (to), decide (to); (mid.) deliberate","verb: -ω vowel stem","War and Peace","476"
"μάλα","very, very much","adverb","Conjunctions/Adverbs","477"
"αἰτέω, αἰτήσω, ᾔτησα, ᾔτηκα, ᾔτημαι, ᾐτήθην","ask (for), beg","verb: contracted","Writing and Talking","478"
"σωτηρία σωτηρίας, ἡ","safety, deliverance","noun: 1st declension","Help and Safety","479"
"ἆρα","[introduces a question]","adverb","Particles","480"
"διώκω, διώξομαι, ἐδίωξα, δεδίωχα, ἐδιώχθην","pursue","verb: -ω palatal stem","Movement","481"
